  X         Y         Z       PDOP   TDOP   GDOP
-2148730.34    4426645.68    4044657.99    2.37    1.36    2.73

-2148729.83    4426646.29    4044658.86    2.37    1.36    2.73

-2148725.61    4426639.80    4044655.43    2.36    1.36    2.72

-2148728.30    4426643.66    4044656.65    2.36    1.35    2.72

-2148730.00    4426646.28    4044656.20    2.36    1.35    2.72

-2148728.09    4426644.21    4044656.68    2.35    1.35    2.71

-2148727.28    4426640.93    4044654.73    2.35    1.35    2.71

-2148729.81    4426646.04    4044657.69    2.35    1.35    2.71

-2148729.65    4426645.24    4044657.75    2.34    1.34    2.70

-2148727.74    4426643.82    4044655.90    2.34    1.34    2.70

-2148729.65    4426647.33    4044657.19    2.34    1.34    2.69

-2148728.13    4426642.66    4044657.85    2.33    1.33    2.69

-2148727.94    4426643.79    4044659.38    2.33    1.33    2.68

-2148729.51    4426644.25    4044658.54    2.33    1.33    2.68

-2148728.91    4426645.19    4044659.43    2.32    1.33    2.67

-2148728.46    4426642.39    4044658.08    2.32    1.32    2.67

-2148727.49    4426642.74    4044656.03    2.31    1.32    2.66

-2148728.40    4426644.13    4044656.09    2.31    1.32    2.66

-2148728.15    4426642.48    4044655.45    2.30    1.31    2.65

-2148728.98    4426642.80    4044657.40    2.30    1.31    2.65

-2148728.38    4426643.23    4044655.77    2.29    1.31    2.64

-2148730.34    4426646.93    4044661.00    2.29    1.30    2.63

-2148725.94    4426640.39    4044657.05    2.28    1.30    2.63

-2148728.54    4426645.43    4044657.31    2.27    1.29    2.62

-2148728.52    4426645.31    4044658.15    2.27    1.29    2.61

-2148728.11    4426642.68    4044658.88    2.26    1.28    2.60

-2148729.24    4426645.73    4044658.41    2.26    1.28    2.60

-2148733.79    4426652.31    4044661.28    2.25    1.28    2.59

-2148730.30    4426650.36    4044660.90    2.25    1.27    2.58

-2148730.73    4426648.49    4044659.16    2.24    1.27    2.58

-2148731.52    4426647.91    4044658.74    2.24    1.26    2.57

-2148729.29    4426648.11    4044659.27    2.23    1.26    2.56

-2148729.12    4426644.39    4044659.24    2.21    1.24    2.53

-2148729.94    4426648.16    4044661.00    2.20    1.24    2.53

-2148731.29    4426647.28    4044661.80    2.20    1.23    2.52

-2148732.13    4426649.46    4044659.44    2.19    1.23    2.51

-2148731.87    4426646.58    4044659.65    2.19    1.22    2.51

-2148733.15    4426649.08    4044662.13    2.18    1.22    2.50

-2148732.51    4426649.45    4044659.90    2.18    1.22    2.49

-2148729.44    4426645.74    4044663.16    2.17    1.21    2.49

-2148733.84    4426652.61    4044665.65    2.17    1.21    2.48

-2148731.38    4426647.96    4044662.41    2.16    1.20    2.47

-2148733.62    4426650.95    4044661.97    2.16    1.20    2.47

